train,test
20.7416,20.8543
20.0358,20.1409
19.3619,19.4597
18.7194,18.81
18.1075,18.1911
17.5256,17.6024
16.9728,17.043
16.4482,16.5121
15.9509,16.0089
15.48,15.5323
15.0345,15.0813
14.6132,14.6549
14.2151,14.252
13.8391,13.8716
13.4841,13.5124
13.1492,13.1735
12.8331,12.8539
12.5349,12.5523
12.2536,12.2679
11.9883,11.9996
11.7379,11.7466
11.5016,11.5079
11.2786,11.2825
11.068,11.0699
10.8691,10.869
10.6811,10.6792
10.5033,10.4999
10.3352,10.3302
10.176,10.1697
10.0253,10.0178
9.88245,9.87377
9.74699,9.73728
9.61846,9.60779
9.49642,9.48487
9.38046,9.3681
9.2702,9.2571
9.16529,9.1515
9.06539,9.05098
8.97021,8.95521
8.87944,8.86391
8.79283,8.7768
8.71013,8.69363
8.63109,8.61416
8.55551,8.53819
8.48317,8.46548
8.4139,8.39587
8.34751,8.32916
8.28384,8.2652
8.22273,8.20382
8.16405,8.14488
8.10765,8.08824
8.05341,8.03377
8.00121,7.98137
7.95095,7.93091
7.90251,7.88228
7.8558,7.8354
7.81074,7.79017
7.76723,7.74651
7.72519,7.70433
7.68456,7.66355
7.64525,7.62411
7.60721,7.58594
7.57036,7.54897
7.53466,7.51315
7.50004,7.47842
7.46645,7.44472
7.43384,7.41202
7.40217,7.38025
7.37139,7.34937
7.34146,7.31935
7.31234,7.29014
7.28399,7.26171
7.25639,7.23402
7.22948,7.20703
7.20325,7.18072
7.17766,7.15506
7.15268,7.13001
7.12829,7.10555
7.10447,7.08166
7.08118,7.0583
7.05841,7.03547
7.03613,7.01313
7.01432,6.99126
6.99296,6.96985
6.97204,6.94887
6.95154,6.92831
6.93143,6.90816
6.91171,6.88838
6.89236,6.86898
6.87336,6.84994
6.8547,6.83123
6.83637,6.81285
6.81835,6.79479
6.80063,6.77703
6.78321,6.75957
6.76606,6.74238
6.74918,6.72547
6.73256,6.70881
6.71619,6.69241
6.70007,6.67625
6.68417,6.66032
6.6685,6.64461
6.65304,6.62913
6.63779,6.61385
6.62274,6.59877
6.60788,6.58389
6.59322,6.5692
6.57873,6.55469
6.56442,6.54036
6.55027,6.52619
6.53629,6.51219
6.52247,6.49835
6.5088,6.48466
6.49527,6.47112
6.48189,6.45773
6.46865,6.44448
6.45554,6.43136
6.44257,6.41837
6.42972,6.4055
6.41699,6.39277
6.40438,6.38015
6.39188,6.36764
6.37949,6.35525
6.36722,6.34297
6.35504,6.33079
6.34297,6.31872
6.331,6.30675
6.31913,6.29487
6.30735,6.28309
6.29566,6.2714
6.28405,6.2598
6.27254,6.24828
6.2611,6.23685
6.24975,6.22551
6.23848,6.21424
6.22729,6.20305
6.21617,6.19194
6.20512,6.1809
6.19415,6.16993
6.18324,6.15904
6.1724,6.14821
6.16163,6.13745
6.15093,6.12675
6.14028,6.11612
6.1297,6.10555
6.11918,6.09504
6.10872,6.0846
6.09831,6.07421
6.08796,6.06387
6.07767,6.05359
6.06743,6.04337
6.05724,6.0332
6.04711,6.02308
6.03702,6.01302
6.02699,6.003
6.017,5.99303
6.00706,5.98311
5.99717,5.97323
5.98732,5.96341
5.97751,5.95362
5.96775,5.94389
5.95804,5.93419
5.94836,5.92454
5.93873,5.91493
5.92914,5.90536
5.91958,5.89583
5.91007,5.88634
5.9006,5.87689
5.89116,5.86748
5.88176,5.8581
5.8724,5.84877
5.86307,5.83946
5.85378,5.8302
5.84452,5.82097
5.8353,5.81177
5.82611,5.80261
5.81695,5.79348
5.80783,5.78439
5.79874,5.77533
5.78968,5.7663
5.78065,5.7573
5.77166,5.74833
5.76269,5.7394
5.75376,5.73049
5.74485,5.72161
5.73598,5.71277
5.72713,5.70395
5.71831,5.69516
5.70952,5.6864
5.70076,5.67767
5.69202,5.66897
5.68332,5.66029
5.67464,5.65164
5.66598,5.64302
5.65735,5.63443
5.64875,5.62586
5.64018,5.61731
5.63163,5.60879
5.6231,5.6003
5.6146,5.59184
5.60613,5.58339
5.59768,5.57498
5.58925,5.56658
5.58085,5.55821
5.57247,5.54987
5.56412,5.54155
5.55579,5.53325
5.54748,5.52498
5.53919,5.51672
5.53093,5.5085
5.52269,5.50029
5.51447,5.49211
5.50628,5.48395
5.4981,5.47581
5.48995,5.46769
5.48182,5.4596
5.47372,5.45152
5.46563,5.44347
5.45756,5.43544
5.44952,5.42743
5.4415,5.41944
5.4335,5.41148
5.42551,5.40353
5.41755,5.3956
5.40961,5.3877
5.40169,5.37981
5.39379,5.37195
5.38591,5.3641
5.37805,5.35628
5.37021,5.34847
5.36239,5.34069
5.35459,5.33292
5.34681,5.32517
5.33905,5.31745
5.3313,5.30974
5.32358,5.30205
5.31587,5.29438
5.30819,5.28673
5.30052,5.2791
5.29287,5.27149
5.28524,5.26389
5.27763,5.25632
5.27004,5.24876
5.26247,5.24122
5.25491,5.2337
5.24737,5.2262
5.23985,5.21872
5.23235,5.21125
5.22487,5.2038
5.2174,5.19637
5.20996,5.18896
5.20253,5.18157
5.19512,5.17419
5.18772,5.16683
5.18035,5.15949
5.17299,5.15217
5.16565,5.14486
5.15832,5.13758
5.15101,5.1303
5.14373,5.12305
5.13645,5.11581
5.1292,5.10859
5.12196,5.10139
5.11474,5.09421
5.10754,5.08704
5.10035,5.07989
5.09318,5.07275
5.08603,5.06563
5.07889,5.05853
5.07177,5.05145
5.06467,5.04438
5.05758,5.03733
5.05051,5.0303
5.04346,5.02328
5.03642,5.01628
5.0294,5.00929
5.0224,5.00232
5.01541,4.99537
5.00844,4.98843
5.00148,4.98151
4.99454,4.97461
4.98762,4.96772
4.98072,4.96085
4.97383,4.954
4.96695,4.94716
4.96009,4.94033
4.95325,4.93353
4.94642,4.92673
4.93961,4.91996
4.93282,4.9132
4.92604,4.90646
4.91928,4.89973
4.91253,4.89301
4.9058,4.88632
4.89908,4.87964
4.89238,4.87297
4.8857,4.86632
4.87903,4.85969
4.87238,4.85307
4.86574,4.84646
4.85912,4.83988
4.85251,4.8333
4.84592,4.82675
4.83934,4.82021
4.83278,4.81368
4.82624,4.80717
4.81971,4.80067
4.81319,4.79419
4.80669,4.78773
4.80021,4.78128
4.79374,4.77484
4.78729,4.76842
4.78085,4.76202
4.77442,4.75563
4.76801,4.74925
4.76162,4.74289
4.75524,4.73655
4.74888,4.73022
4.74253,4.7239
4.7362,4.7176
4.72988,4.71132
4.72357,4.70505
4.71728,4.69879
4.71101,4.69255
4.70475,4.68632
4.6985,4.68011
4.69227,4.67391
4.68606,4.66773
4.67986,4.66157
4.67367,4.65541
4.6675,4.64927
4.66134,4.64315
4.6552,4.63704
4.64907,4.63095
4.64296,4.62487
4.63686,4.6188
4.63078,4.61275
4.62471,4.60671
4.61865,4.60069
4.61261,4.59468
4.60658,4.58869
4.60057,4.58271
4.59457,4.57675
4.58859,4.5708
4.58262,4.56486
4.57667,4.55894
4.57072,4.55303
4.5648,4.54714
4.55889,4.54126
4.55299,4.53539
4.5471,4.52954
4.54123,4.5237
4.53538,4.51788
4.52954,4.51207
4.52371,4.50628
4.51789,4.5005
4.51209,4.49473
4.50631,4.48898
4.50054,4.48324
4.49478,4.47751
4.48903,4.4718
4.4833,4.4661
4.47759,4.46042
4.47188,4.45475
4.4662,4.44909
4.46052,4.44345
4.45486,4.43782
4.44921,4.43221
4.44358,4.42661
4.43796,4.42102
4.43235,4.41544
4.42676,4.40988
4.42118,4.40434
4.41561,4.3988
4.41006,4.39329
4.40452,4.38778
4.399,4.38229
4.39349,4.37681
4.38799,4.37134
4.38251,4.36589
4.37703,4.36045
4.37158,4.35503
4.36613,4.34962
4.3607,4.34422
4.35528,4.33883
4.34988,4.33346
4.34449,4.3281
4.33911,4.32276
4.33375,4.31742
4.3284,4.3121
4.32306,4.3068
4.31773,4.30151
4.31242,4.29623
4.30712,4.29096
4.30184,4.28571
4.29656,4.28047
4.29131,4.27524
4.28606,4.27003
4.28083,4.26483
4.27561,4.25964
4.2704,4.25446
4.2652,4.2493
4.26002,4.24415
4.25485,4.23902
4.2497,4.23389
4.24456,4.22878
4.23943,4.22368
4.23431,4.2186
4.2292,4.21353
4.22411,4.20847
4.21903,4.20342
4.21397,4.19838
4.20891,4.19336
4.20387,4.18835
4.19884,4.18336
4.19383,4.17837
4.18882,4.1734
4.18383,4.16844
4.17885,4.1635
4.17389,4.15856
4.16894,4.15364
4.16399,4.14873
4.15907,4.14384
4.15415,4.13895
4.14925,4.13408
4.14435,4.12922
4.13948,4.12438
4.13461,4.11954
4.12975,4.11472
4.12491,4.10991
4.12008,4.10511
4.11526,4.10032
4.11046,4.09555
4.10566,4.09079
4.10088,4.08604
4.09611,4.0813
4.09136,4.07658
4.08661,4.07186
4.08188,4.06716
4.07716,4.06247
4.07245,4.05779
4.06775,4.05313
4.06306,4.04848
4.05839,4.04383
4.05373,4.0392
4.04908,4.03459
4.04444,4.02998
4.03981,4.02538
4.0352,4.0208
4.0306,4.01623
4.026,4.01167
4.02143,4.00712
4.01686,4.00259
4.0123,3.99806
4.00776,3.99355
4.00322,3.98905
3.9987,3.98456
3.99419,3.98008
3.98969,3.97561
3.9852,3.97116
3.98073,3.96671
3.97626,3.96228
3.97181,3.95786
3.96737,3.95345
3.96294,3.94905
3.95852,3.94466
3.95411,3.94028
3.94971,3.93592
3.94533,3.93157
3.94095,3.92722
3.93659,3.92289
3.93224,3.91857
3.9279,3.91426
3.92357,3.90996
3.91925,3.90567
3.91494,3.9014
3.91064,3.89713
3.90636,3.89288
3.90208,3.88863
3.89782,3.8844
3.89356,3.88018
3.88932,3.87597
3.88509,3.87177
3.88087,3.86758
3.87666,3.8634
3.87246,3.85923
3.86827,3.85507
3.86409,3.85093
3.85992,3.84679
3.85577,3.84267
3.85162,3.83855
3.84749,3.83445
3.84336,3.83035
3.83925,3.82627
