train_cost,test_cost,train_effeciency,test_efficiency
34.2825,48.5398,0.0986547,0.125523
31.6144,45.8467,0.0959641,0.121339
29.2459,43.463,0.101345,0.125523
27.172,41.383,0.104933,0.123431
25.3843,39.5967,0.10583,0.119247
23.8687,38.0874,0.106726,0.123431
22.6031,36.8311,0.113004,0.123431
21.5592,35.7978,0.111211,0.123431
20.7048,34.9545,0.111211,0.121339
20.0079,34.2686,0.113901,0.115063
19.439,33.7103,0.112108,0.117155
18.9729,33.2542,0.112108,0.123431
18.589,32.8797,0.112108,0.119247
18.2706,32.5701,0.114798,0.119247
18.0048,32.3124,0.117489,0.117155
17.7812,32.0963,0.119283,0.125523
17.5917,31.914,0.120179,0.121339
17.4299,31.7591,0.119283,0.123431
17.2909,31.6265,0.117489,0.125523
17.1704,31.5124,0.119283,0.125523
17.0654,31.4135,0.119283,0.121339
16.9733,31.3274,0.121076,0.123431
16.892,31.2519,0.121973,0.121339
16.8197,31.1853,0.123767,0.119247
16.7551,31.1263,0.124664,0.121339
16.697,31.0737,0.125561,0.123431
16.6445,31.0266,0.130045,0.123431
16.5967,30.9842,0.128251,0.127615
16.5531,30.9457,0.129148,0.129707
16.513,30.9108,0.129148,0.129707
16.476,30.8788,0.131839,0.131799
16.4417,30.8495,0.131839,0.129707
16.4097,30.8223,0.132735,0.127615
16.3797,30.7972,0.132735,0.129707
16.3516,30.7737,0.134529,0.131799
16.325,30.7518,0.136323,0.131799
16.2998,30.7312,0.139013,0.129707
16.2758,30.7117,0.140807,0.133891
16.253,30.6932,0.140807,0.135983
16.2311,30.6757,0.141704,0.135983
16.2101,30.6589,0.143498,0.133891
16.1898,30.6429,0.144395,0.135983
16.1703,30.6274,0.147085,0.135983
16.1514,30.6126,0.147982,0.135983
16.133,30.5982,0.150673,0.135983
16.1152,30.5842,0.15157,0.135983
16.0978,30.5707,0.152466,0.138075
16.0808,30.5575,0.15426,0.140167
16.0642,30.5446,0.156951,0.140167
16.0479,30.5319,0.156951,0.140167
16.0319,30.5196,0.156951,0.140167
16.0162,30.5074,0.157848,0.144351
16.0008,30.4955,0.157848,0.148536
15.9857,30.4837,0.158744,0.148536
15.9707,30.4721,0.160538,0.150628
15.956,30.4607,0.161435,0.150628
15.9414,30.4494,0.165022,0.150628
15.927,30.4382,0.167713,0.150628
15.9128,30.4271,0.167713,0.150628
15.8987,30.4162,0.167713,0.15272
15.8848,30.4053,0.166816,0.15272
15.871,30.3945,0.167713,0.15272
15.8573,30.3838,0.16861,0.156904
15.8437,30.3731,0.16861,0.158996
15.8303,30.3625,0.169507,0.161088
15.8169,30.352,0.170404,0.161088
15.8037,30.3415,0.172197,0.161088
15.7905,30.3311,0.173094,0.161088
15.7774,30.3207,0.173991,0.16318
15.7645,30.3104,0.174888,0.16318
15.7516,30.3001,0.176682,0.16318
15.7388,30.2899,0.177578,0.16318
15.726,30.2797,0.177578,0.167364
15.7133,30.2696,0.179372,0.167364
15.7007,30.2594,0.180269,0.169456
15.6882,30.2493,0.181166,0.169456
15.6757,30.2393,0.182063,0.169456
15.6633,30.2293,0.18296,0.169456
15.651,30.2193,0.183857,0.169456
15.6387,30.2093,0.18565,0.171548
15.6265,30.1994,0.186547,0.17364
15.6144,30.1894,0.187444,0.17364
15.6023,30.1796,0.189238,0.17364
15.5902,30.1697,0.191928,0.17364
15.5782,30.1599,0.191928,0.17364
15.5663,30.1501,0.192825,0.17364
15.5544,30.1403,0.193722,0.17364
15.5426,30.1306,0.195516,0.17364
15.5308,30.1208,0.198206,0.175732
15.5191,30.1111,0.2,0.175732
15.5074,30.1015,0.201794,0.175732
15.4958,30.0918,0.203587,0.175732
15.4842,30.0822,0.203587,0.175732
15.4727,30.0726,0.205381,0.175732
15.4612,30.063,0.205381,0.175732
15.4498,30.0535,0.206278,0.177824
15.4384,30.044,0.208969,0.177824
15.427,30.0345,0.209865,0.179916
15.4157,30.025,0.211659,0.179916
15.4045,30.0156,0.213453,0.179916
15.3933,30.0061,0.21435,0.182008
15.3821,29.9968,0.216143,0.1841
15.371,29.9874,0.218834,0.1841
15.36,29.978,0.222422,0.186192
15.3489,29.9687,0.224215,0.186192
15.338,29.9594,0.224215,0.186192
